Star,Type,EW_HA,EW_NA,TEMPERATURE
HD886,B2IV,4.0345,0.1116,22400
HD120315,B3V,4.6587,0.0568,18445
HR9087,B7IV,5.2180,0.2340,12915
HR8634,B8V,6.2270,0.1830,12120
HD196867,B9IV,7.6562,0.3096,11020
HR5501,B9.5V,7.979,0.4610,10340
HD130109,A0III,13.4821,0.3774,10240
HR262,A3V,12.1643,0.5707,8625
HD116842,A5V,15.0043,0.5211,8170
HD4758,A9III,6.5495,0.7579,7500
HD223468,F0V,5.4243,0.8481,7500
HD6680,F3IV,4.8174,0.8609,6500
HD134083,F5V,4.4605,0.8921,6500
HD6301,F7IV,3.5748,0.8632,6000
HD196755,G2IV,2.4264,1.4720,5650
HD153751,G5III,1.4323,1.5172,5600
XiHer,G8III,1.1816,2.0288,5000
HD217143,G9III,1.0566,1.4658,4850
HD145675,K0V,2.1682,3.9691,5300
HD198550,K4V,0.5312,5.8630,4750